date,ip,port,asn,geo_country,jarm,ja3x,certificate_value
2024-08-28,47.91.14.8,8443,"AS45102 Alibaba (US) Technology Co., Ltd.",CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"OU=,O=,L=,ST=,C="
2024-08-28,47.91.14.8,65534,"AS45102 Alibaba (US) Technology Co., Ltd.",CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"CN=Major Cobalt Strike,OU=AdvancedPenTesting,O=cobaltstrike,L=Somewhere,ST=Cyberspace,C=Earth"
2024-08-28,116.198.247.52,50050,AS137699 CHINATELECOM Jiangsu Suqian IDC network,CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"CN=Major Cobalt Strike,OU=AdvancedPenTesting,O=cobaltstrike,L=Somewhere,ST=Cyberspace,C=Earth"
2024-08-28,116.198.247.52,7000,AS137699 CHINATELECOM Jiangsu Suqian IDC network,CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,000000000000_000000000000_000000000000,
2024-08-28,128.14.229.56,443,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,HK,07d14d16d21d21d00042d41d00041d47e4e0ae17960b2a5b4fd6107fbb0926,2166164053c1_2166164053c1_30d204a01551,"OU=,O=,L=,ST=,C="
2024-08-28,192.227.229.201,443,AS36352 HostPapa,US,07d14d16d21d21d00042d41d00041d47e4e0ae17960b2a5b4fd6107fbb0926,2166164053c1_2166164053c1_30d204a01551,"CN=US,OU=jd.com,O=Software,L=Somewhere,ST=Cyberspace,C=CN"
2024-08-28,39.104.64.228,30102,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"CN=www.infoworld.com,OU=Infoworld Corporation,O=Infoworld Corporation,L=Vashi,ST=Navi Mumbai,C=Mumbai"
2024-08-28,39.104.64.228,443,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"CN=www.infoworld.com,OU=Infoworld Corporation,O=Infoworld Corporation,L=Vashi,ST=Navi Mumbai,C=Mumbai"
2024-08-28,101.32.207.185,443,"AS132203 Tencent Building, Kejizhongyi Avenue",HK,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"CN=www.infoworld.com,OU=Infoworld Corporation,O=Infoworld Corporation,L=Vashi,ST=Navi Mumbai,C=Mumbai"
2024-08-28,120.53.236.103,443,AS45090 Shenzhen Tencent Computer Systems Company Limited,CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"OU=,O=,L=,ST=,C="
2024-08-28,121.43.33.41,50050,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"CN=Major Cobalt Strike,OU=AdvancedPenTesting,O=cobaltstrike,L=Somewhere,ST=Cyberspace,C=Earth"
2024-08-28,124.220.228.39,443,AS45090 Shenzhen Tencent Computer Systems Company Limited,CN,3fd21b20d00000021c43d21b21b43d76e1f79b8645e08ae7fa8f07eb5e4202,2166164053c1_2166164053c1_000000000000,"CN=www.baidu.com,OU=BAIDU,O=BAIDU,L=BJ,ST=BJ,C=CN"
2024-08-28,124.222.15.103,50050,AS45090 Shenzhen Tencent Computer Systems Company Limited,CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"CN=Piaoliu,OU=Xiaohongshu,O=Security,L=Shanghai,ST=Shanghai,C=CN"
2024-08-28,81.70.29.244,30030,AS45090 Shenzhen Tencent Computer Systems Company Limited,CN,07d14d16d21d21d00042d41d00041d47e4e0ae17960b2a5b4fd6107fbb0926,2166164053c1_2166164053c1_30d204a01551,"CN=*.microsoft.com,OU=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=WA,C=US"
2024-08-28,47.99.188.195,1234,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"CN=Major Cobalt Strike,OU=AdvancedPenTesting,O=cobaltstrike,L=Somewhere,ST=Cyberspace,C=Earth"
2024-08-28,47.99.188.195,3333,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,b757977db3a9_b757977db3a9_b06bda150783,O=Gophish
2024-08-28,119.45.175.173,443,AS45090 Shenzhen Tencent Computer Systems Company Limited,CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"OU=,O=,L=,ST=,C="
